cntyname,pct_change_14_24
Keweenaw,-46.33035876889455
Oscoda,-41.07961650687787
Gladwin,-24.354951185495125
Osceola,-19.72222222222223
Branch,-16.673129119813872
Houghton,-16.054671562627508
Lake,-13.60160965794769
Mackinac,-13.428693424423566
Baraga,-13.42862516456649
Mecosta,-12.170489558370443
St. Joseph,-11.686816350028792
Sanilac,-10.724698042482288
Iron,-10.708598726114642
Wexford,-10.412926391382406
Hillsdale,-10.136251032204793
Gogebic,-9.852216748768464
Calhoun,-8.97605129172166
Kalkaska,-8.495742667928093
Missaukee,-8.440230526120093
Montmorency,-8.02210365853658
Ontonagon,-5.804927438407035
Detroit,-5.73383671543181
Montcalm,-2.949794881812858
Allegan,-2.375848517327609
Benzie,-2.2386643900588252
Isabella,-2.1892527591822004
Mason,-2.124645892351255
Kalamazoo,-1.949762866678361
Tuscola,-1.9250460782305912
Ottawa,-1.503759398496233
Huron,-1.0392156862745119
Clare,-0.9362868234756846
Schoolcraft,-0.7800000000000068
Oceana,-0.23384353741497085
Antrim,0.019588638589622478
Newaygo,0.5382372729311582
Chippewa,1.1753418085871858
Barry,1.3202640528105667
Kent,1.4579307922009606
Cass,1.6386279222197948
Van Buren,2.116802116802104
Ionia,2.2784321297547923
Livingston,3.4463276836158108
Monroe,3.6249999999999956
Jackson,4.004533434076322
Grand Traverse,4.050728752602705
Alger,4.204204204204222
Crawford,4.374534623976172
Gratiot,4.961268904463293
Bay,5.35933930767879
Michigan,5.748527320739389
Macomb,5.906996229576884
Charlevoix,6.030150753768844
Roscommon,6.219611021069678
Midland,6.445804825351111
Berrien,6.495607951918624
Lenawee,6.613029827315528
Marquette,6.743451606910636
Presque Isle,7.136770345121445
Dickinson,7.896287566293446
Otsego,8.637521222410875
Manistee,8.74117914864558
Menominee,8.743786714866694
Saginaw,8.808593750000004
Muskegon,8.88671875
Washtenaw,9.540430482838847
Genesee,9.750219106047327
Luce,10.512249443207125
Leelanau,10.626702997275189
Lapeer,11.071428571428566
Ingham,11.76724137931035
Shiawassee,12.027914614121505
Oakland,12.746493189672709
Wayne,13.209181463837147
Arenac,13.937355476140429
Alpena,15.684295518772707
Ogemaw,15.712945590994384
Emmet,15.760869565217387
St. Clair,16.27512714943087
Eaton,17.517119505191065
Cheboygan,17.551515151515147
Delta,21.16663092429766
Clinton,24.86807387862796
Iosco,36.7606412382532
Alcona,42.7279772668561
